Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;19;04;00;7.88;92.00;1009.50;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;4.10;15.26;4.32;360.00;2.90;172.87;6.48
2018;08;19;05;00;8.04;92.00;1009.90;0.00;0.00;100.00;87.00;100.00;100.00;0.00;0.00;2.52;360.00;2.97;345.96;2.97;194.04;3.60
2018;08;19;06;00;8.15;92.00;1010.30;0.00;0.00;100.00;0.00;100.00;100.00;0.00;1.78;1.61;333.43;1.61;296.57;2.41;206.57;3.24
2018;08;19;07;00;8.85;89.00;1010.50;0.00;0.00;100.00;0.00;100.00;100.00;0.00;36.49;3.40;302.01;3.76;286.70;1.61;243.43;4.32
2018;08;19;08;00;9.57;85.00;1010.50;0.00;0.00;100.00;0.00;100.00;100.00;0.00;89.00;5.19;303.69;5.69;304.70;1.08;270.00;5.04
2018;08;19;09;00;9.87;83.00;1011.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;135.28;7.39;316.97;8.40;316.74;0.80;296.57;7.92
2018;08;19;10;00;9.88;81.00;1012.50;0.10;0.00;100.00;0.00;100.00;100.00;0.00;173.55;8.29;325.62;9.59;325.71;1.08;270.00;9.00
2018;08;19;11;00;10.14;78.00;1012.30;0.10;0.00;100.00;0.00;92.00;100.00;0.00;243.86;8.50;323.62;9.00;323.13;3.76;253.30;8.28
2018;08;19;12;00;14.12;66.00;1011.50;0.00;0.00;100.00;0.00;100.00;100.00;0.00;339.98;11.61;209.74;12.40;205.82;16.87;213.69;18.00
2018;08;19;13;00;14.17;64.00;1011.40;0.00;0.00;100.00;0.00;100.00;100.00;0.00;345.32;11.46;223.73;11.97;223.78;16.64;218.85;16.92
2018;08;19;14;00;14.43;63.00;1011.60;0.00;0.00;100.00;0.00;95.00;100.00;0.00;338.20;11.63;248.20;12.41;253.14;15.28;223.09;16.20
2018;08;19;15;00;14.01;61.00;1011.50;0.00;0.00;100.00;0.00;59.00;100.00;0.00;320.40;12.29;275.04;13.80;285.12;12.82;231.84;15.12
2018;08;19;16;00;13.40;65.00;1012.00;0.00;0.00;100.00;0.00;11.00;100.00;0.00;256.32;14.66;294.68;15.99;305.84;14.02;240.80;16.56
2018;08;19;17;00;13.04;69.00;1012.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;301.71;13.85;297.90;13.83;308.66;18.68;242.45;16.56
2018;08;19;18;00;12.30;74.00;1012.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;226.95;11.30;292.48;11.12;299.05;23.19;244.23;15.12
2018;08;19;19;00;11.62;79.00;1013.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;148.63;10.54;277.85;10.66;281.69;24.82;250.51;15.48
2018;08;19;20;00;11.01;83.00;1013.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;94.34;10.50;264.09;11.18;266.31;24.99;258.37;16.20
2018;08;19;21;00;10.40;87.00;1013.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;36.49;10.97;246.80;12.64;250.02;27.16;255.41;17.28
2018;08;19;22;00;10.02;92.00;1013.30;0.00;0.00;100.00;0.00;20.00;100.00;0.00;1.78;11.30;232.77;13.39;233.75;29.26;251.34;19.44
2018;08;19;23;00;9.90;95.00;1013.40;0.10;0.00;100.00;0.00;100.00;100.00;0.00;0.00;12.23;222.61;14.51;223.99;30.97;250.30;20.52
2018;08;20;00;00;9.88;94.00;1013.40;0.50;0.00;100.00;0.00;90.00;100.00;0.00;0.00;13.24;225.00;15.79;226.85;35.53;250.46;20.16
2018;08;20;01;00;9.66;95.00;1013.50;0.00;0.00;100.00;0.00;77.00;100.00;0.00;0.00;13.49;223.92;15.02;225.97;37.25;246.66;20.52
2018;08;20;02;00;9.44;95.00;1013.90;0.00;0.00;100.00;0.00;45.00;100.00;0.00;0.00;13.76;222.88;15.27;225.00;39.28;252.40;23.40
2018;08;20;03;00;8.99;95.00;1013.10;0.00;0.00;100.00;1.00;2.00;100.00;0.00;0.00;14.51;223.99;15.53;224.06;40.35;254.48;21.96
2018;08;20;04;00;8.51;95.00;1012.80;0.00;0.00;100.00;48.00;100.00;100.00;0.00;0.00;13.83;218.66;14.57;219.99;40.42;250.76;21.24
2018;08;20;05;00;8.71;95.00;1012.70;0.00;0.00;100.00;43.00;100.00;100.00;0.00;0.00;13.53;205.20;14.33;205.28;37.91;251.74;20.16
2018;08;20;06;00;9.27;95.00;1012.00;0.10;0.00;100.00;47.00;100.00;100.00;0.00;0.00;15.26;199.29;18.06;203.50;35.14;240.55;21.60
